Algorithm,Log Source,Log,Min Adaptive Window,Max Adaptive Window,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,P-Value,MRID,Epsilon,Window Size,SW Step Size
Process Graph Metrics,Ostovar,Composite_IRO_output_IRO_5,400.0,500.0,"[980, 2123]","[999, 1999]",1.0,71.5,00:00:17,,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_sw,100.0,600.0,[],[499],,,00:00:09,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_sw,100.0,600.0,[],[499],,,00:00:05,0.4,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_IOR,200.0,500.0,[],[499],,,00:00:06,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_IOR,200.0,500.0,[],[499],,,00:00:02,0.4,,,,
Zheng DBSCAN,Ostovar,Atomic_Frequency_output_Frequency_5,,,[1516.9802143446002],"[999, 1999]",,,00:00:04,,400.0,40.0,,
Zheng DBSCAN,Ostovar,Atomic_Frequency_output_Frequency_5,,,[1516.9802143446002],"[999, 1999]",,,00:00:04,,400.0,80.0,,
Zheng DBSCAN,Ostovar,Atomic_Frequency_output_Frequency_5,,,[1516.9802143446002],"[999, 1999]",,,00:00:04,,400.0,120.0,,
Zheng DBSCAN,Ostovar,Atomic_Frequency_output_Frequency_5,,,[1516.9802143446002],"[999, 1999]",,,00:00:04,,400.0,160.0,,
Zheng DBSCAN,Ostovar,Atomic_Frequency_output_Frequency_5,,,[1516.9802143446002],"[999, 1999]",,,00:00:04,,400.0,200.0,,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_IRO,200.0,600.0,[519],[499],1.0,20.0,00:00:00,,,,,
Process Graph Metrics,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_2,200.0,500.0,[1148],"[999, 1999]",0.6666666666666666,149.0,00:00:09,,,,,
Martjushev ADWIN J,Ostovar,Atomic_ConditionalMove_output_ConditionalMove,100.0,700.0,"[869, 1880]","[999, 1999]",1.0,124.5,00:07:26,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_ConditionalMove_output_ConditionalMove,100.0,700.0,[],"[999, 1999]",,,00:04:59,0.4,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_re,300.0,500.0,[319],[499],1.0,180.0,00:00:06,0.4,,,,
