Algorithm/Options,Log,Window Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Bose Average J,Atomic_Size2_Substitute,100,"[945, 1505, 1961]","[999, 1999]",0.8,00:15:26
Bose Average WC,Atomic_Size2_Substitute,100,[982],"[999, 1999]",0.6666666666666666,00:13:02
Bose Average J,Atomic_Size2_ParallelMove,500,"[1148, 1651, 1864, 2176]","[999, 1999]",0.6666666666666666,00:22:56
Bose Average WC,Atomic_Size2_ParallelMove,500,[],"[999, 1999]",,00:20:00
Bose Average J,Atomic_Size2_Swap,300,"[632, 929, 1885]","[999, 1999]",0.8,00:17:37
Bose Average WC,Atomic_Size2_Swap,300,[1004],"[999, 1999]",0.6666666666666666,00:15:34
Bose Average J,Atomic_Size2_ParallelToSequence,600,"[1336, 2036]","[999, 1999]",0.5,00:23:40
Bose Average WC,Atomic_Size2_ParallelToSequence,600,[1971],"[999, 1999]",0.6666666666666666,00:21:10
Bose Average J,Atomic_Size2_SerialMove,300,"[1552, 1846]","[999, 1999]",0.5,00:20:14
Bose Average WC,Atomic_Size2_SerialMove,300,[1908],"[999, 1999]",0.6666666666666666,00:17:45
Bose Average J,Atomic_Size2_Substitute,200,"[439, 946, 1301, 1494, 1912]","[999, 1999]",0.5714285714285715,00:18:57
Bose Average WC,Atomic_Size2_Substitute,200,"[982, 1858]","[999, 1999]",1.0,00:16:00
Bose Average J,Atomic_Size2_ParallelMove,100,[],"[999, 1999]",,00:14:34
Bose Average WC,Atomic_Size2_ParallelMove,100,[],"[999, 1999]",,00:12:11
Bose Average J,Atomic_Size2_ConditionalRemoval,400,"[719, 2004]","[999, 1999]",0.5,00:22:12
Bose Average WC,Atomic_Size2_ConditionalRemoval,400,"[859, 1953]","[999, 1999]",1.0,00:20:10
Bose Average J,Atomic_Size2_Substitute,600,"[960, 1969]","[999, 1999]",1.0,00:26:12
Bose Average WC,Atomic_Size2_Substitute,600,[987],"[999, 1999]",0.6666666666666666,00:23:21
Bose Average J,Atomic_Size2_SerialRemoval,200,"[997, 1664, 1911]","[999, 1999]",0.8,00:17:08
Bose Average WC,Atomic_Size2_SerialRemoval,200,[1030],"[999, 1999]",0.6666666666666666,00:14:52
Bose Average J,Atomic_Size2_Swap,100,[1886],"[999, 1999]",0.6666666666666666,00:13:35
Bose Average WC,Atomic_Size2_Swap,100,[],"[999, 1999]",,00:10:54
Bose Average J,Atomic_Size2_SerialRemoval,400,"[974, 1938]","[999, 1999]",1.0,00:21:39
Bose Average WC,Atomic_Size2_SerialRemoval,400,"[975, 1820]","[999, 1999]",1.0,00:19:42
Bose Average J,Atomic_Size2_Skip,600,"[1033, 1946]","[999, 1999]",1.0,00:23:41
Bose Average WC,Atomic_Size2_Skip,600,[],"[999, 1999]",,00:21:21
Bose Average J,Atomic_Size2_ParallelRemoval,300,"[926, 1945, 2594]","[999, 1999]",0.8,00:19:47
Bose Average WC,Atomic_Size2_ParallelRemoval,300,[1011],"[999, 1999]",0.6666666666666666,00:17:21
Bose Average J,Atomic_Size2_Loop,600,"[948, 2161]","[999, 1999]",1.0,00:21:47
Bose Average WC,Atomic_Size2_Loop,600,[2276],"[999, 1999]",,00:19:28
Bose Average J,Atomic_Size2_ConditionalRemoval,200,"[274, 857, 1960]","[999, 1999]",0.8,00:17:16
Bose Average WC,Atomic_Size2_ConditionalRemoval,200,"[857, 1960]","[999, 1999]",1.0,00:14:54
Bose Average J,Atomic_Size2_ParallelRemoval,400,"[912, 1949]","[999, 1999]",1.0,00:21:46
