Algorithm/Options,Log,Window Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Earth Mover's Distance,Atomic_Size2_ParallelToSequence,100,[1965],"[999, 1999]",0.6666666666666666,00:05:17
Earth Mover's Distance,Atomic_Size2_SerialRemoval,400,"[952, 1938]","[999, 1999]",1.0,00:21:51
Earth Mover's Distance,Atomic_Size2_ParallelRemoval,400,"[953, 1615, 1936]","[999, 1999]",0.8,00:21:32
Earth Mover's Distance,Atomic_Size2_ParallelMove,600,"[960, 1941]","[999, 1999]",1.0,00:33:24
Earth Mover's Distance,Atomic_Size2_ParallelRemoval,600,"[963, 1522, 1901]","[999, 1999]",0.8,00:32:27
Earth Mover's Distance,Atomic_Size2_ParallelMove,200,"[947, 1420, 1946]","[999, 1999]",0.8,00:10:23
Earth Mover's Distance,Atomic_Size2_Swap,600,"[949, 1944]","[999, 1999]",1.0,00:31:29
Earth Mover's Distance,Atomic_Size2_ParallelToSequence,500,"[925, 1958]","[999, 1999]",1.0,00:28:26
Earth Mover's Distance,Atomic_Size2_ParallelRemoval,200,"[964, 1935]","[999, 1999]",1.0,00:10:05
Earth Mover's Distance,Atomic_Size2_Loop,200,"[1074, 1925]","[999, 1999]",1.0,00:10:18
Earth Mover's Distance,Atomic_Size2_ConditionalToSequence,200,"[948, 1954]","[999, 1999]",1.0,00:10:52
Earth Mover's Distance,Atomic_Size2_ConditionalRemoval,500,"[912, 1950]","[999, 1999]",1.0,00:25:54
Earth Mover's Distance,Atomic_Size2_ParallelToSequence,400,"[951, 1949]","[999, 1999]",1.0,00:22:35
Earth Mover's Distance,Atomic_Size2_Substitute,400,"[957, 1949]","[999, 1999]",1.0,00:22:42
Earth Mover's Distance,Atomic_Size2_ConditionalMove,300,"[944, 1926, 2498]","[999, 1999]",0.8,00:16:35
Earth Mover's Distance,Atomic_Size2_SerialRemoval,100,"[934, 1940]","[999, 1999]",1.0,00:04:42
Earth Mover's Distance,Atomic_Size2_SerialRemoval,500,"[936, 1945]","[999, 1999]",1.0,00:27:05
Earth Mover's Distance,Atomic_Size2_Skip,300,"[1213, 1487, 1925]","[999, 1999]",0.4,00:16:03
Earth Mover's Distance,Atomic_Size2_ConditionalRemoval,600,"[992, 1898]","[999, 1999]",1.0,00:31:01
Earth Mover's Distance,Atomic_Size2_Frequency,200,"[381, 974, 1944]","[999, 1999]",0.8,00:05:34
Earth Mover's Distance,Atomic_Size2_ConditionalRemoval,300,"[972, 1950]","[999, 1999]",1.0,00:15:01
