Algorithm/Options,Log,Window Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Maaradji Runs,Atomic_Size2_ParallelRemoval,600,"[820, 1792]","[999, 1999]",0.5,00:08:27
Maaradji Runs,Atomic_Size2_ConditionalToSequence,300,"[970, 2004]","[999, 1999]",1.0,00:08:25
Maaradji Runs,Atomic_Size2_SerialMove,400,"[951, 1911]","[999, 1999]",1.0,00:08:08
Maaradji Runs,Atomic_Size2_Skip,500,[],"[999, 1999]",,00:08:04
Maaradji Runs,Atomic_Size2_Substitute,100,[],"[999, 1999]",,00:08:00
Maaradji Runs,Atomic_Size2_ConditionalToSequence,100,[],"[999, 1999]",,00:08:55
Maaradji Runs,Atomic_Size2_ParallelToSequence,500,[],"[999, 1999]",,00:08:50
Maaradji Runs,Atomic_Size2_Substitute,300,"[958, 1987]","[999, 1999]",1.0,00:08:08
Maaradji Runs,Atomic_Size2_ConditionalToSequence,600,"[799, 1856]","[999, 1999]",1.0,00:08:42
Maaradji Runs,Atomic_Size2_ConditionalRemoval,500,[],"[999, 1999]",,00:07:07
Maaradji Runs,Atomic_Size2_Substitute,600,"[862, 1833]","[999, 1999]",1.0,00:08:25
Maaradji Runs,Atomic_Size2_ParallelToSequence,300,[],"[999, 1999]",,00:08:14
Maaradji Runs,Atomic_Size2_ParallelRemoval,100,[],"[999, 1999]",,00:07:29
Maaradji Runs,Atomic_Size2_ParallelRemoval,500,"[885, 1829]","[999, 1999]",1.0,00:08:16
Maaradji Runs,Atomic_Size2_Loop,200,[],"[999, 1999]",,00:08:04
Maaradji Runs,Atomic_Size2_ConditionalRemoval,300,[],"[999, 1999]",,00:07:19
Maaradji Runs,Atomic_Size2_Loop,500,[],"[999, 1999]",,00:08:21
Maaradji Runs,Atomic_Size2_SerialMove,100,[],"[999, 1999]",,00:08:32
Maaradji Runs,Atomic_Size2_Swap,600,"[799, 1710]","[999, 1999]",0.5,00:07:27
Maaradji Runs,Atomic_Size2_Swap,300,"[868, 1882]","[999, 1999]",1.0,00:07:42
Maaradji Runs,Atomic_Size2_ParallelToSequence,200,[],"[999, 1999]",,00:08:11
Maaradji Runs,Atomic_Size2_SerialMove,500,"[911, 1913]","[999, 1999]",1.0,00:08:00
Maaradji Runs,Atomic_Size2_ParallelMove,600,"[882, 1887]","[999, 1999]",1.0,00:08:17
Maaradji Runs,Atomic_Size2_ConditionalMove,100,[],"[999, 1999]",,00:08:23
Maaradji Runs,Atomic_Size2_ConditionalMove,300,[],"[999, 1999]",,00:08:49
Maaradji Runs,Atomic_Size2_ParallelToSequence,400,[],"[999, 1999]",,00:08:45
Maaradji Runs,Atomic_Size2_Frequency,200,[],"[999, 1999]",,00:02:21
Maaradji Runs,Atomic_Size2_SerialMove,300,[1965],"[999, 1999]",0.6666666666666666,00:08:08
Maaradji Runs,Atomic_Size2_ConditionalToSequence,500,"[878, 1907]","[999, 1999]",1.0,00:08:33
Maaradji Runs,Atomic_Size2_Substitute,500,"[879, 1875]","[999, 1999]",1.0,00:08:41
Maaradji Runs,Atomic_Size2_Skip,200,[],"[999, 1999]",,00:08:21
Maaradji Runs,Atomic_Size2_Loop,400,[],"[999, 1999]",,00:08:14
Maaradji Runs,Atomic_Size2_SerialMove,600,"[885, 1893]","[999, 1999]",1.0,00:08:11
Maaradji Runs,Atomic_Size2_Loop,100,[],"[999, 1999]",,00:07:52
Maaradji Runs,Atomic_Size2_ParallelMove,200,[],"[999, 1999]",,00:07:58
Maaradji Runs,Atomic_Size2_ConditionalMove,500,"[937, 1985]","[999, 1999]",1.0,00:08:28
Maaradji Runs,Atomic_Size2_ConditionalMove,600,"[927, 1901]","[999, 1999]",1.0,00:08:31
Maaradji Runs,Atomic_Size2_ParallelToSequence,100,[],"[999, 1999]",,00:08:29
Maaradji Runs,Atomic_Size2_Frequency,300,"[945, 1966]","[999, 1999]",1.0,00:02:31
Maaradji Runs,Atomic_Size2_ParallelRemoval,300,[1972],"[999, 1999]",0.6666666666666666,00:07:43
Maaradji Runs,Atomic_Size2_ConditionalRemoval,600,[],"[999, 1999]",,00:07:20
Maaradji Runs,Atomic_Size2_SerialRemoval,500,"[863, 1884]","[999, 1999]",1.0,00:08:04
Maaradji Runs,Atomic_Size2_SerialRemoval,400,"[919, 1910]","[999, 1999]",1.0,00:07:57
Maaradji Runs,Atomic_Size2_Substitute,200,[],"[999, 1999]",,00:08:29
Maaradji Runs,Atomic_Size2_SerialMove,200,[],"[999, 1999]",,00:08:18
Maaradji Runs,Atomic_Size2_Loop,600,[],"[999, 1999]",,00:08:10
Maaradji Runs,Atomic_Size2_ParallelMove,400,"[987, 1954]","[999, 1999]",1.0,00:08:22
Maaradji Runs,Atomic_Size2_ConditionalRemoval,400,[],"[999, 1999]",,00:07:09
Maaradji Runs,Atomic_Size2_Skip,100,[],"[999, 1999]",,00:08:14
Maaradji Runs,Atomic_Size2_ConditionalToSequence,200,[],"[999, 1999]",,00:08:23
