Algorithm/Options,Log,Window Size,Max Adaptive Window,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Process Graph Metrics,Atomic_Size2_Swap,600,1200,[],"[999, 1999]",,00:00:08
Process Graph Metrics,Atomic_Size2_ConditionalMove,100,200,[1028],"[999, 1999]",0.6666666666666666,00:00:11
Process Graph Metrics,Atomic_Size2_Loop,200,400,[1998],"[999, 1999]",0.6666666666666666,00:00:26
Process Graph Metrics,Atomic_Size2_Loop,600,1200,"[1258, 2338]","[999, 1999]",,00:00:49
Process Graph Metrics,Atomic_Size2_ParallelRemoval,400,800,[1265],"[999, 1999]",,00:01:04
Process Graph Metrics,Atomic_Size2_Loop,500,1000,"[1258, 2338]","[999, 1999]",,00:00:49
Process Graph Metrics,Atomic_Size2_ConditionalRemoval,300,600,"[1085, 2068]","[999, 1999]",1.0,00:00:09
Process Graph Metrics,Atomic_Size2_SerialMove,300,600,[],"[999, 1999]",,00:00:09
Process Graph Metrics,Atomic_Size2_Swap,300,600,[],"[999, 1999]",,00:00:08
Process Graph Metrics,Atomic_Size2_ConditionalToSequence,100,200,[],"[999, 1999]",,00:00:11
Process Graph Metrics,Atomic_Size2_ConditionalMove,400,800,"[1120, 2158]","[999, 1999]",1.0,00:00:26
Process Graph Metrics,Atomic_Size2_ParallelRemoval,600,1200,[1279],"[999, 1999]",,00:00:58
Process Graph Metrics,Atomic_Size2_Skip,100,200,[],"[999, 1999]",,00:00:05
Process Graph Metrics,Atomic_Size2_ConditionalMove,300,600,"[1070, 2009]","[999, 1999]",1.0,00:00:12
Process Graph Metrics,Atomic_Size2_ConditionalToSequence,300,600,"[1014, 2013]","[999, 1999]",1.0,00:00:13
Process Graph Metrics,Atomic_Size2_ParallelMove,200,400,[],"[999, 1999]",,00:00:08
Process Graph Metrics,Atomic_Size2_Swap,200,400,[],"[999, 1999]",,00:00:08
Process Graph Metrics,Atomic_Size2_ParallelToSequence,400,800,[],"[999, 1999]",,00:00:10
Process Graph Metrics,Atomic_Size2_SerialMove,400,800,[2054],"[999, 1999]",0.6666666666666666,00:00:08
Process Graph Metrics,Atomic_Size2_Skip,200,400,[],"[999, 1999]",,00:00:45
Process Graph Metrics,Atomic_Size2_ParallelMove,400,800,[],"[999, 1999]",,00:00:09
Process Graph Metrics,Atomic_Size2_ParallelRemoval,100,200,"[997, 2002]","[999, 1999]",1.0,00:00:07
Process Graph Metrics,Atomic_Size2_Frequency,100,200,"[976, 2202]","[999, 1999]",0.5,00:00:06
Process Graph Metrics,Atomic_Size2_Frequency,400,800,"[1022, 2082]","[999, 1999]",1.0,00:00:30
Process Graph Metrics,Atomic_Size2_SerialRemoval,100,200,[],"[999, 1999]",,00:00:10
Process Graph Metrics,Atomic_Size2_Substitute,400,800,"[1090, 2128]","[999, 1999]",1.0,00:00:16
Process Graph Metrics,Atomic_Size2_ParallelToSequence,100,200,[],"[999, 1999]",,00:00:06
Process Graph Metrics,Atomic_Size2_SerialMove,500,1000,[],"[999, 1999]",,00:00:08
Process Graph Metrics,Atomic_Size2_ParallelToSequence,500,1000,[],"[999, 1999]",,00:00:09
Process Graph Metrics,Atomic_Size2_ConditionalToSequence,500,1000,"[1088, 2196]","[999, 1999]",1.0,00:00:47
Process Graph Metrics,Atomic_Size2_Swap,500,1000,[],"[999, 1999]",,00:00:08
Process Graph Metrics,Atomic_Size2_Skip,400,800,[],"[999, 1999]",,00:00:41
Process Graph Metrics,Atomic_Size2_Skip,600,1200,"[1270, 2350]","[999, 1999]",,00:00:54
Process Graph Metrics,Atomic_Size2_ConditionalToSequence,400,800,"[1083, 2153]","[999, 1999]",1.0,00:00:54
Process Graph Metrics,Atomic_Size2_Substitute,200,400,"[1053, 2096]","[999, 1999]",1.0,00:00:22
Process Graph Metrics,Atomic_Size2_SerialMove,600,1200,[],"[999, 1999]",,00:00:08
Process Graph Metrics,Atomic_Size2_SerialRemoval,400,800,[1069],"[999, 1999]",0.6666666666666666,00:00:48
Process Graph Metrics,Atomic_Size2_ParallelRemoval,200,400,"[997, 2047]","[999, 1999]",1.0,00:00:21
Process Graph Metrics,Atomic_Size2_Substitute,500,1000,"[1049, 2149]","[999, 1999]",1.0,00:00:37
Process Graph Metrics,Atomic_Size2_ParallelToSequence,200,400,[],"[999, 1999]",,00:00:08
Process Graph Metrics,Atomic_Size2_SerialRemoval,200,400,[1030],"[999, 1999]",0.6666666666666666,00:00:26
Process Graph Metrics,Atomic_Size2_Substitute,300,600,[1036],"[999, 1999]",0.6666666666666666,00:00:13
Process Graph Metrics,Atomic_Size2_ParallelToSequence,600,1200,[],"[999, 1999]",,00:00:09
Process Graph Metrics,Atomic_Size2_Swap,100,200,[],"[999, 1999]",,00:00:06
Process Graph Metrics,Atomic_Size2_Skip,500,1000,"[1270, 2350]","[999, 1999]",,00:00:56
Process Graph Metrics,Atomic_Size2_ParallelMove,500,1000,[],"[999, 1999]",,00:00:09
Process Graph Metrics,Atomic_Size2_SerialRemoval,300,600,"[1019, 2069]","[999, 1999]",1.0,00:00:11
Process Graph Metrics,Atomic_Size2_Frequency,500,1000,"[1014, 2109]","[999, 1999]",1.0,00:00:21
Process Graph Metrics,Atomic_Size2_ParallelMove,300,600,[],"[999, 1999]",,00:00:08
Process Graph Metrics,Atomic_Size2_ParallelMove,600,1200,[],"[999, 1999]",,00:00:09
Process Graph Metrics,Atomic_Size2_ConditionalMove,600,1200,"[1103, 2183]","[999, 1999]",1.0,00:00:09
Process Graph Metrics,Atomic_Size2_ConditionalToSequence,600,1200,"[1088, 2196]","[999, 1999]",1.0,00:00:48
Process Graph Metrics,Atomic_Size2_ConditionalRemoval,400,800,"[1162, 2200]","[999, 1999]",0.5,00:00:33
Process Graph Metrics,Atomic_Size2_ParallelRemoval,300,600,"[1140, 2130]","[999, 1999]",1.0,00:00:05
Process Graph Metrics,Atomic_Size2_ParallelMove,100,200,[],"[999, 1999]",,00:00:06
Process Graph Metrics,Atomic_Size2_ConditionalRemoval,200,400,"[1016, 2016]","[999, 1999]",1.0,00:00:13
Process Graph Metrics,Atomic_Size2_ConditionalRemoval,500,1000,"[1181, 2261]","[999, 1999]",0.5,00:00:27
Process Graph Metrics,Atomic_Size2_Substitute,600,1200,"[1049, 2149]","[999, 1999]",1.0,00:00:38
Process Graph Metrics,Atomic_Size2_ConditionalMove,500,1000,"[1103, 2183]","[999, 1999]",1.0,00:00:10
Process Graph Metrics,Atomic_Size2_ParallelRemoval,500,1000,[1279],"[999, 1999]",,00:00:59
Process Graph Metrics,Atomic_Size2_SerialMove,200,400,[2054],"[999, 1999]",0.6666666666666666,00:00:08
Process Graph Metrics,Atomic_Size2_ConditionalMove,200,400,"[1055, 2063]","[999, 1999]",1.0,00:00:30
Process Graph Metrics,Atomic_Size2_Loop,100,200,[1986],"[999, 1999]",0.6666666666666666,00:00:05
Process Graph Metrics,Atomic_Size2_Loop,400,800,"[2133, 3272]","[999, 1999]",0.5,00:01:15
Process Graph Metrics,Atomic_Size2_Swap,400,800,[],"[999, 1999]",,00:00:10
Process Graph Metrics,Atomic_Size2_Frequency,600,1200,"[1014, 2109]","[999, 1999]",1.0,00:00:23
Process Graph Metrics,Atomic_Size2_SerialMove,100,200,[],"[999, 1999]",,00:00:06
Process Graph Metrics,Atomic_Size2_SerialRemoval,500,1000,"[1079, 2375]","[999, 1999]",0.5,00:00:47
Process Graph Metrics,Atomic_Size2_ParallelToSequence,300,600,[],"[999, 1999]",,00:00:10
Process Graph Metrics,Atomic_Size2_Frequency,200,400,"[1021, 2016]","[999, 1999]",1.0,00:00:29
Process Graph Metrics,Atomic_Size2_ConditionalToSequence,200,400,"[1035, 2038]","[999, 1999]",1.0,00:00:29
Process Graph Metrics,Atomic_Size2_Substitute,100,200,[980],"[999, 1999]",0.6666666666666666,00:00:05
Process Graph Metrics,Atomic_Size2_Loop,300,600,[1199],"[999, 1999]",0.6666666666666666,00:01:09
Process Graph Metrics,Atomic_Size2_SerialRemoval,600,1200,"[1079, 2375]","[999, 1999]",0.5,00:00:47
Process Graph Metrics,Atomic_Size2_ConditionalRemoval,600,1200,"[1181, 2261]","[999, 1999]",0.5,00:00:26
Process Graph Metrics,Atomic_Size2_Frequency,300,600,"[1015, 1992]","[999, 1999]",1.0,00:00:31
Process Graph Metrics,Atomic_Size2_ConditionalRemoval,100,200,[1016],"[999, 1999]",0.6666666666666666,00:00:04
Process Graph Metrics,Atomic_Size2_Skip,300,600,"[1438, 2140]","[999, 1999]",0.5,00:00:40
