Algorithm/Options,Log,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Zheng DBSCAN,Atomic_Size2_Frequency,500,50.0,[1484.2790152403284],"[999, 1999]",,00:00:02
Zheng DBSCAN,Atomic_Size2_Frequency,500,100.0,[1484.2790152403284],"[999, 1999]",,00:00:02
Zheng DBSCAN,Atomic_Size2_Frequency,500,150.0,[1484.2790152403284],"[999, 1999]",,00:00:02
Zheng DBSCAN,Atomic_Size2_SerialRemoval,100,10.0,"[918.0, 953.5, 1892.0, 1945.0, 1956.0]","[999, 1999]",0.5714285714285715,00:00:03
Zheng DBSCAN,Atomic_Size2_SerialRemoval,100,20.0,"[918.0, 953.5, 1892.0, 1950.5]","[999, 1999]",0.6666666666666666,00:00:03
Zheng DBSCAN,Atomic_Size2_SerialRemoval,100,30.0,"[918.0, 953.5, 1892.0, 1950.5]","[999, 1999]",0.6666666666666666,00:00:03
Zheng DBSCAN,Atomic_Size2_ConditionalMove,500,50.0,"[915.6, 1930.0]","[999, 1999]",1.0,00:00:04
Zheng DBSCAN,Atomic_Size2_ConditionalMove,500,100.0,"[915.6, 1930.0]","[999, 1999]",1.0,00:00:04
Zheng DBSCAN,Atomic_Size2_ConditionalMove,500,150.0,"[915.6, 1930.0]","[999, 1999]",1.0,00:00:04
Zheng DBSCAN,Atomic_Size2_ConditionalRemoval,250,25.0,"[935.5, 1946.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_ConditionalRemoval,250,50.0,"[935.5, 1946.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_ConditionalRemoval,250,75.0,"[935.5, 1946.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_ConditionalRemoval,100,10.0,"[935.5, 1946.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_ConditionalRemoval,100,20.0,"[935.5, 1946.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_ConditionalRemoval,100,30.0,"[935.5, 1946.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_ParallelRemoval,500,50.0,"[935.25, 1942.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_ParallelRemoval,500,100.0,"[935.25, 1942.0]","[999, 1999]",1.0,00:00:03
Zheng DBSCAN,Atomic_Size2_ParallelRemoval,500,150.0,"[935.25, 1942.0]","[999, 1999]",1.0,00:00:03
