Algorithm/Options,Log,Window Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Bose Average J,cpnToolsSimulationLog,100,"[1197, 2402, 3600, 4802]","[1199, 2399, 3599, 4799]",1.0,00:03:07
Bose Average WC,cpnToolsSimulationLog,100,"[2403, 3597, 4799]","[1199, 2399, 3599, 4799]",0.8571428571428571,00:02:57
Bose Average J,log_long_term_dep,600,"[1227, 1981]",[1999],0.6666666666666666,00:05:12
Bose Average WC,log_long_term_dep,600,[],[1999],,00:04:49
Bose Average J,cpnToolsSimulationLog,400,"[1215, 2393, 3599, 4793]","[1199, 2399, 3599, 4799]",1.0,00:05:45
Bose Average WC,cpnToolsSimulationLog,400,"[1306, 2356, 3597, 4183, 4797]","[1199, 2399, 3599, 4799]",0.888888888888889,00:05:42
Bose Average J,cpnToolsSimulationLog,600,"[1236, 2337, 3617, 4793]","[1199, 2399, 3599, 4799]",1.0,00:06:44
Bose Average WC,cpnToolsSimulationLog,600,"[1289, 2343, 3598, 4828]","[1199, 2399, 3599, 4799]",1.0,00:06:54
Bose Average J,log_long_term_dep,500,"[1294, 1971]",[1999],0.6666666666666666,00:04:40
Bose Average WC,log_long_term_dep,500,[3348],[1999],,00:04:14
Bose Average J,log_long_term_dep,100,[],[1999],,00:02:40
Bose Average WC,log_long_term_dep,100,[],[1999],,00:02:22
Bose Average J,log_long_term_dep,200,[1999],[1999],1.0,00:03:22
Bose Average WC,log_long_term_dep,200,[],[1999],,00:03:04
Bose Average J,log_long_term_dep,300,"[1973, 3182]",[1999],0.6666666666666666,00:04:02
Bose Average WC,log_long_term_dep,300,[],[1999],,00:03:45
Bose Average J,cpnToolsSimulationLog,300,"[1297, 2337, 3594, 4182, 4802]","[1199, 2399, 3599, 4799]",0.888888888888889,00:04:50
Bose Average WC,cpnToolsSimulationLog,300,"[1297, 2302, 3696, 4182, 4799]","[1199, 2399, 3599, 4799]",0.888888888888889,00:04:54
Bose Average J,cpnToolsSimulationLog,200,"[1201, 2359, 3604, 4810]","[1199, 2399, 3599, 4799]",1.0,00:03:45
Bose Average WC,cpnToolsSimulationLog,200,"[1201, 2357, 3598, 4810]","[1199, 2399, 3599, 4799]",1.0,00:03:42
Bose Average J,log_long_term_dep,400,"[537, 1972, 2613]",[1999],0.5,00:04:23
Bose Average WC,log_long_term_dep,400,[],[1999],,00:03:58
Bose Average J,cpnToolsSimulationLog,500,"[1236, 2403, 3600, 4793]","[1199, 2399, 3599, 4799]",1.0,00:05:44
Bose Average WC,cpnToolsSimulationLog,500,"[1191, 2357, 3598, 4801]","[1199, 2399, 3599, 4799]",1.0,00:05:45
