Algorithm/Options,Log,Window Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Martjushev Recursive Bisection; Average J; p=0.55,log_long_term_dep,100,"[286, 870, 1274, 1542, 1742, 1963, 2810, 3514]",[1999],0.2222222222222222,00:02:47
Martjushev Recursive Bisection; Average WC; p=0.55,log_long_term_dep,100,[],[1999],,00:02:08
Martjushev Recursive Bisection; Average J; p=0.55,log_long_term_dep,500,"[259, 1971, 3336]",[1999],0.5,00:04:57
Martjushev Recursive Bisection; Average WC; p=0.55,log_long_term_dep,500,[],[1999],,00:03:13
Martjushev Recursive Bisection; Average J; p=0.55,log_long_term_dep,600,"[300, 2100, 3362]",[1999],0.5,00:05:21
Martjushev Recursive Bisection; Average WC; p=0.55,log_long_term_dep,600,[],[1999],,00:03:35
Martjushev Recursive Bisection; Average J; p=0.55,log_long_term_dep,200,"[309, 1049, 1439, 1942, 2615, 3516]",[1999],0.2857142857142857,00:03:17
Martjushev Recursive Bisection; Average WC; p=0.55,log_long_term_dep,200,[],[1999],,00:02:28
Martjushev Recursive Bisection; Average J; p=0.55,cpnToolsSimulationLog,300,"[1164, 2397, 3601, 4804]","[1199, 2399, 3599, 4799]",1.0,00:04:47
Martjushev Recursive Bisection; Average WC; p=0.55,cpnToolsSimulationLog,300,[],"[1199, 2399, 3599, 4799]",,00:03:54
Martjushev Recursive Bisection; Average J; p=0.55,cpnToolsSimulationLog,200,"[1118, 2228, 3589, 4179, 4805, 5379]","[1199, 2399, 3599, 4799]",0.8,00:03:54
Martjushev Recursive Bisection; Average WC; p=0.55,cpnToolsSimulationLog,200,[],"[1199, 2399, 3599, 4799]",,00:03:14
Martjushev Recursive Bisection; Average J; p=0.55,cpnToolsSimulationLog,400,"[1193, 2378, 3597, 4801]","[1199, 2399, 3599, 4799]",1.0,00:05:46
Martjushev Recursive Bisection; Average WC; p=0.55,cpnToolsSimulationLog,400,[],"[1199, 2399, 3599, 4799]",,00:04:40
Martjushev Recursive Bisection; Average J; p=0.55,cpnToolsSimulationLog,100,"[1183, 1415, 2400, 3586, 4801, 5181]","[1199, 2399, 3599, 4799]",0.8,00:03:12
Martjushev Recursive Bisection; Average WC; p=0.55,cpnToolsSimulationLog,100,[],"[1199, 2399, 3599, 4799]",,00:02:42
Martjushev Recursive Bisection; Average J; p=0.55,log_long_term_dep,300,"[299, 1059, 1825, 3181]",[1999],0.4,00:04:07
Martjushev Recursive Bisection; Average WC; p=0.55,log_long_term_dep,300,[],[1999],,00:03:05
Martjushev Recursive Bisection; Average J; p=0.55,cpnToolsSimulationLog,500,"[1124, 2390, 3600, 4796]","[1199, 2399, 3599, 4799]",1.0,00:06:19
Martjushev Recursive Bisection; Average WC; p=0.55,cpnToolsSimulationLog,500,[],"[1199, 2399, 3599, 4799]",,00:04:44
Martjushev Recursive Bisection; Average J; p=0.55,cpnToolsSimulationLog,600,"[1134, 2409, 3609, 4799]","[1199, 2399, 3599, 4799]",1.0,00:06:24
Martjushev Recursive Bisection; Average WC; p=0.55,cpnToolsSimulationLog,600,[],"[1199, 2399, 3599, 4799]",,00:04:05
Martjushev Recursive Bisection; Average J; p=0.55,log_long_term_dep,400,"[311, 1970]",[1999],0.6666666666666666,00:03:29
Martjushev Recursive Bisection; Average WC; p=0.55,log_long_term_dep,400,[],[1999],,00:02:22
