Algorithm/Options,Log,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Zheng DBSCAN,cpnToolsSimulationLog,500,50.0,"[579.0, 651.0, 1222.7, 1406.25, 1746.0, 1798.5, 1882.0, 1991.0, 2072.0, 2152.0, 2231.0, 2353.0, 2540.0, 2956.5, 3065.5, 3144.0, 3395.0, 3607.714285714286, 3733.0, 3799.0, 3999.1666666666665, 4129.0, 4245.0, 4491.0, 4808.5, 5035.5, 5098.0, 5235.5, 5319.833333333333, 5456.8, 5634.0]","[1199, 2399, 3599, 4799]",0.2285714285714286,00:00:00
Zheng DBSCAN,cpnToolsSimulationLog,500,100.0,"[615.0, 1275.142857142857, 1806.25, 2103.6, 2353.0, 2540.0, 3068.0, 3395.0, 3642.8888888888887, 4095.846153846154, 4491.0, 4808.5, 5056.333333333333, 5286.1, 5456.8, 5634.0]","[1199, 2399, 3599, 4799]",0.4,00:00:00
Zheng DBSCAN,cpnToolsSimulationLog,500,150.0,"[615.0, 1275.142857142857, 2009.6, 2540.0, 3068.0, 3395.0, 3910.5454545454545, 4491.0, 4808.5, 5295.222222222223, 5634.0]","[1199, 2399, 3599, 4799]",0.3999999999999999,00:00:00
Zheng DBSCAN,log_long_term_dep,500,50.0,"[855.0, 2667.5, 3305.6666666666665, 3436.5]",[1999],,00:00:00
Zheng DBSCAN,log_long_term_dep,500,100.0,"[855.0, 2667.5, 3305.6666666666665, 3436.5]",[1999],,00:00:00
Zheng DBSCAN,log_long_term_dep,500,150.0,"[855.0, 2667.5, 3380.4285714285716]",[1999],,00:00:00
Zheng DBSCAN,cpnToolsSimulationLog,250,25.0,"[288.5, 323.5, 486.0, 578.0, 651.0, 860.6666666666666, 978.0, 1137.0, 1186.4, 1239.3333333333333, 1288.5, 1407.4285714285713, 1588.3333333333333, 1657.0, 1700.0, 1746.3333333333333, 1798.5, 1877.25, 1956.0, 1991.0, 2051.0, 2093.0, 2143.0, 2221.3333333333335, 2349.0, 2403.5, 2549.0, 2698.0, 2725.0, 2934.0, 2973.0, 3065.5, 3142.0, 3276.0, 3387.3333333333335, 3454.0, 3502.0, 3590.6, 3649.0, 3707.0, 3733.0, 3801.5, 3903.0, 3957.5, 4023.4, 4078.0, 4110.5, 4147.5, 4200.0, 4245.0, 4367.0, 4481.25, 4558.0, 4699.0, 4791.6, 4837.5, 5035.5, 5092.5, 5146.0, 5235.5, 5319.833333333333, 5409.0, 5456.8, 5535.0, 5561.0, 5634.5, 5887.0, 5929.0]","[1199, 2399, 3599, 4799]",0.1111111111111111,00:00:00
Zheng DBSCAN,cpnToolsSimulationLog,250,50.0,"[306.0, 486.0, 578.0, 651.0, 860.6666666666666, 978.0, 1226.2307692307693, 1407.4285714285713, 1588.3333333333333, 1741.857142857143, 1877.25, 1973.5, 2107.5, 2221.3333333333335, 2376.25, 2549.0, 2711.5, 2960.0, 3065.5, 3142.0, 3276.0, 3387.3333333333335, 3486.0, 3634.0, 3801.5, 4043.3571428571427, 4233.75, 4367.0, 4481.25, 4558.0, 4699.0, 4804.714285714285, 5035.5, 5110.333333333333, 5235.5, 5319.833333333333, 5448.833333333333, 5548.0, 5634.5, 5908.0]","[1199, 2399, 3599, 4799]",0.1818181818181818,00:00:00
Zheng DBSCAN,cpnToolsSimulationLog,250,75.0,"[289.6, 486.0, 596.25, 860.6666666666666, 978.0, 1226.2307692307693, 1407.4285714285713, 1891.6521739130435, 2376.25, 2549.0, 2711.5, 2960.0, 3116.5, 3276.0, 3586.8333333333335, 4085.6666666666665, 4367.0, 4496.6, 4699.0, 4804.714285714285, 5080.4, 5395.95, 5908.0]","[1199, 2399, 3599, 4799]",0.2962962962962963,00:00:00
Zheng DBSCAN,log_long_term_dep,100,10.0,"[164.0, 196.5, 239.83333333333334, 314.3333333333333, 344.0, 404.0, 452.0, 477.0, 509.0, 524.5, 634.0, 675.0, 722.5, 778.0, 792.0, 842.5, 858.5, 911.0, 941.0, 980.0, 1030.5, 1073.2, 1156.0, 1201.5, 1221.0, 1255.0, 1294.0, 1336.0, 1353.0, 1444.0, 1470.0, 1493.6666666666667, 1568.0, 1607.3333333333333, 1662.0, 1683.0, 1764.0, 1811.0, 1837.0, 1873.0, 1930.0, 1949.0, 1981.0, 2031.0, 2054.0, 2066.0, 2159.0, 2266.0, 2298.5, 2317.0, 2411.0, 2468.0, 2506.0, 2529.0, 2547.0, 2574.5, 2607.0, 2669.0, 2696.5, 2752.0, 2765.5, 2801.0, 2846.0, 2863.0, 2930.3333333333335, 3030.5, 3071.5, 3192.5, 3210.0, 3233.5, 3303.0, 3328.0, 3392.0, 3421.0, 3438.5, 3477.0, 3527.3333333333335, 3594.0, 3639.0, 3698.0, 3746.0, 3824.0, 3863.0, 3934.0]",[1999],0.0235294117647058,00:00:00
