Algorithm/Options,Log,Window Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Bose Average J,Atomic_Size2_Skip_5,100,[],"[999, 1999]",,00:18:10
Bose Average WC,Atomic_Size2_Skip_5,100,[],"[999, 1999]",,00:17:09
Bose Average J,Atomic_Size2_ParallelMove_5,400,"[931, 1879]","[999, 1999]",1.0,00:29:11
Bose Average WC,Atomic_Size2_ParallelMove_5,400,"[875, 2065]","[999, 1999]",1.0,00:36:19
Bose Average J,Atomic_Size2_Skip_5,600,"[1043, 1744]","[999, 1999]",0.5,00:32:12
Bose Average WC,Atomic_Size2_Skip_5,600,[],"[999, 1999]",,00:41:29
Bose Average J,Atomic_Size2_ParallelRemoval_5,400,"[877, 1552, 1946]","[999, 1999]",0.8,00:29:36
Bose Average WC,Atomic_Size2_ParallelRemoval_5,400,[921],"[999, 1999]",0.6666666666666666,00:36:31
Bose Average J,Atomic_Size2_Frequency_5,100,"[387, 1938]","[999, 1999]",0.5,00:09:23
Bose Average WC,Atomic_Size2_Frequency_5,100,[919],"[999, 1999]",0.6666666666666666,00:08:55
Bose Average J,Atomic_Size2_Skip_5,200,"[1034, 1276]","[999, 1999]",0.5,00:22:22
Bose Average WC,Atomic_Size2_Skip_5,200,[1261],"[999, 1999]",,00:25:27
Bose Average J,Atomic_Size2_SerialMove_5,400,"[833, 1504, 1871]","[999, 1999]",0.8,00:29:50
Bose Average WC,Atomic_Size2_SerialMove_5,400,"[872, 1903]","[999, 1999]",1.0,00:36:58
Bose Average J,Atomic_Size2_Substitute_5,400,"[982, 1904]","[999, 1999]",1.0,00:32:05
Bose Average WC,Atomic_Size2_Substitute_5,400,"[1039, 1895]","[999, 1999]",1.0,00:39:29
Bose Average J,Atomic_Size2_ConditionalToSequence_5,300,"[932, 1919, 2594]","[999, 1999]",0.8,00:26:14
Bose Average WC,Atomic_Size2_ConditionalToSequence_5,300,"[971, 1872]","[999, 1999]",1.0,00:32:49
Bose Average J,Atomic_Size2_SerialRemoval_5,500,"[976, 1805]","[999, 1999]",1.0,00:30:22
Bose Average WC,Atomic_Size2_SerialRemoval_5,500,[],"[999, 1999]",,00:37:22
Bose Average J,Atomic_Size2_Frequency_5,600,"[1169, 1774]","[999, 1999]",0.5,00:16:08
Bose Average WC,Atomic_Size2_Frequency_5,600,[],"[999, 1999]",,00:21:01
Bose Average J,Atomic_Size2_ConditionalMove_5,300,"[1009, 1923]","[999, 1999]",1.0,00:26:54
Bose Average WC,Atomic_Size2_ConditionalMove_5,300,[748],"[999, 1999]",,00:33:53
Bose Average J,Atomic_Size2_Loop_5,500,"[948, 1996]","[999, 1999]",1.0,00:27:38
Bose Average WC,Atomic_Size2_Loop_5,500,[2169],"[999, 1999]",0.6666666666666666,00:34:16
Bose Average J,Atomic_Size2_ParallelRemoval_5,100,"[984, 1990]","[999, 1999]",1.0,00:18:28
Bose Average WC,Atomic_Size2_ParallelRemoval_5,100,[],"[999, 1999]",,00:17:07
Bose Average J,Atomic_Size2_ParallelMove_5,200,"[893, 2133]","[999, 1999]",1.0,00:22:32
Bose Average WC,Atomic_Size2_ParallelMove_5,200,[],"[999, 1999]",,00:25:32
Bose Average J,Atomic_Size2_Loop_5,600,"[948, 1999]","[999, 1999]",1.0,00:29:17
Bose Average WC,Atomic_Size2_Loop_5,600,[2162],"[999, 1999]",0.6666666666666666,00:37:22
Bose Average J,Atomic_Size2_Loop_5,100,"[906, 1915]","[999, 1999]",1.0,00:17:05
Bose Average WC,Atomic_Size2_Loop_5,100,[],"[999, 1999]",,00:15:59
Bose Average J,Atomic_Size2_SerialMove_5,100,[1904],"[999, 1999]",0.6666666666666666,00:19:11
Bose Average WC,Atomic_Size2_SerialMove_5,100,[],"[999, 1999]",,00:17:32
Bose Average J,Atomic_Size2_Skip_5,400,"[877, 1858, 2028]","[999, 1999]",0.8,00:30:00
Bose Average WC,Atomic_Size2_Skip_5,400,[2030],"[999, 1999]",0.6666666666666666,00:37:11
Bose Average J,Atomic_Size2_Frequency_5,300,"[373, 723, 1853]","[999, 1999]",0.4,00:13:43
Bose Average WC,Atomic_Size2_Frequency_5,300,"[373, 941, 1829]","[999, 1999]",0.8,00:17:06
Bose Average J,Atomic_Size2_Swap_5,500,"[1464, 1804]","[999, 1999]",0.5,00:27:50
Bose Average WC,Atomic_Size2_Swap_5,500,[],"[999, 1999]",,00:34:39
Bose Average J,Atomic_Size2_SerialMove_5,500,"[832, 1930]","[999, 1999]",1.0,00:30:51
Bose Average WC,Atomic_Size2_SerialMove_5,500,[1930],"[999, 1999]",0.6666666666666666,00:37:46
Bose Average J,Atomic_Size2_ConditionalRemoval_5,400,"[745, 2004]","[999, 1999]",0.5,00:29:39
Bose Average WC,Atomic_Size2_ConditionalRemoval_5,400,"[859, 1953]","[999, 1999]",1.0,00:36:21
Bose Average J,Atomic_Size2_SerialRemoval_5,200,"[975, 1887, 2381]","[999, 1999]",0.8,00:22:58
Bose Average WC,Atomic_Size2_SerialRemoval_5,200,[985],"[999, 1999]",0.6666666666666666,00:25:40
Bose Average J,Atomic_Size2_Loop_5,400,"[948, 1917]","[999, 1999]",1.0,00:27:09
Bose Average WC,Atomic_Size2_Loop_5,400,"[955, 1917]","[999, 1999]",1.0,00:33:57
Bose Average J,Atomic_Size2_SerialRemoval_5,600,"[976, 1890]","[999, 1999]",1.0,00:31:25
Bose Average WC,Atomic_Size2_SerialRemoval_5,600,[],"[999, 1999]",,00:40:52
Bose Average J,Atomic_Size2_ConditionalToSequence_5,200,"[931, 1936]","[999, 1999]",1.0,00:22:59
Bose Average WC,Atomic_Size2_ConditionalToSequence_5,200,"[931, 1919]","[999, 1999]",1.0,00:25:51
Bose Average J,Atomic_Size2_ConditionalMove_5,600,"[1058, 1830]","[999, 1999]",1.0,00:32:55
Bose Average WC,Atomic_Size2_ConditionalMove_5,600,[1241],"[999, 1999]",,00:43:00
Bose Average J,Atomic_Size2_ParallelRemoval_5,200,"[245, 866, 2002, 2603]","[999, 1999]",0.6666666666666666,00:23:01
Bose Average WC,Atomic_Size2_ParallelRemoval_5,200,[1041],"[999, 1999]",0.6666666666666666,00:25:22
Bose Average J,Atomic_Size2_Swap_5,600,[1885],"[999, 1999]",0.6666666666666666,00:29:16
Bose Average WC,Atomic_Size2_Swap_5,600,[],"[999, 1999]",,00:38:10
Bose Average J,Atomic_Size2_ConditionalMove_5,400,"[1009, 1807]","[999, 1999]",1.0,00:30:32
Bose Average WC,Atomic_Size2_ConditionalMove_5,400,[1260],"[999, 1999]",,00:38:29
Bose Average J,Atomic_Size2_Skip_5,500,"[1042, 1840]","[999, 1999]",1.0,00:30:32
Bose Average WC,Atomic_Size2_Skip_5,500,[],"[999, 1999]",,00:37:48
Bose Average J,Atomic_Size2_Substitute_5,200,"[444, 937, 1494, 1915]","[999, 1999]",0.6666666666666666,00:25:25
Bose Average WC,Atomic_Size2_Substitute_5,200,"[982, 1901]","[999, 1999]",1.0,00:27:42
Bose Average J,Atomic_Size2_ConditionalRemoval_5,300,"[830, 1960]","[999, 1999]",1.0,00:26:31
Bose Average WC,Atomic_Size2_ConditionalRemoval_5,300,"[853, 1948]","[999, 1999]",1.0,00:32:29
Bose Average J,Atomic_Size2_ParallelMove_5,100,[874],"[999, 1999]",0.6666666666666666,00:18:51
Bose Average WC,Atomic_Size2_ParallelMove_5,100,[],"[999, 1999]",,00:17:24
Bose Average J,Atomic_Size2_Skip_5,300,"[969, 1719]","[999, 1999]",0.5,00:26:48
Bose Average WC,Atomic_Size2_Skip_5,300,[],"[999, 1999]",,00:33:01
Bose Average J,Atomic_Size2_ConditionalToSequence_5,500,"[954, 1924]","[999, 1999]",1.0,00:30:27
Bose Average WC,Atomic_Size2_ConditionalToSequence_5,500,"[971, 1769]","[999, 1999]",0.5,00:37:55
Bose Average J,Atomic_Size2_Frequency_5,400,"[806, 1824]","[999, 1999]",1.0,00:15:17
Bose Average WC,Atomic_Size2_Frequency_5,400,"[806, 1829]","[999, 1999]",1.0,00:18:52
Bose Average J,Atomic_Size2_Frequency_5,200,"[366, 1286, 1830, 2496]","[999, 1999]",0.3333333333333333,00:11:37
Bose Average WC,Atomic_Size2_Frequency_5,200,"[378, 1853]","[999, 1999]",0.5,00:13:11
Bose Average J,Atomic_Size2_SerialMove_5,200,"[864, 1547, 1845]","[999, 1999]",0.8,00:22:54
Bose Average WC,Atomic_Size2_SerialMove_5,200,[],"[999, 1999]",,00:25:37
Bose Average J,Atomic_Size2_ParallelToSequence_5,500,"[724, 885, 1846]","[999, 1999]",0.8,00:30:06
Bose Average WC,Atomic_Size2_ParallelToSequence_5,500,"[895, 1848]","[999, 1999]",1.0,00:37:24
Bose Average J,Atomic_Size2_SerialRemoval_5,300,"[983, 1893]","[999, 1999]",1.0,00:26:17
Bose Average WC,Atomic_Size2_SerialRemoval_5,300,[983],"[999, 1999]",0.6666666666666666,00:32:46
Bose Average J,Atomic_Size2_SerialMove_5,600,"[864, 1304, 1930]","[999, 1999]",0.8,00:31:59
Bose Average WC,Atomic_Size2_SerialMove_5,600,[],"[999, 1999]",,00:41:13
Bose Average J,Atomic_Size2_ConditionalRemoval_5,500,"[742, 2001]","[999, 1999]",0.5,00:30:01
Bose Average WC,Atomic_Size2_ConditionalRemoval_5,500,[2098],"[999, 1999]",0.6666666666666666,00:37:00
Bose Average J,Atomic_Size2_SerialRemoval_5,100,"[903, 1940]","[999, 1999]",1.0,00:18:41
Bose Average WC,Atomic_Size2_SerialRemoval_5,100,[1004],"[999, 1999]",0.6666666666666666,00:17:19
Bose Average J,Atomic_Size2_ParallelToSequence_5,200,"[997, 1345]","[999, 1999]",0.5,00:23:11
Bose Average WC,Atomic_Size2_ParallelToSequence_5,200,[974],"[999, 1999]",0.6666666666666666,00:25:54
Bose Average J,Atomic_Size2_Loop_5,300,"[948, 1927]","[999, 1999]",1.0,00:24:01
Bose Average WC,Atomic_Size2_Loop_5,300,"[1018, 1923]","[999, 1999]",1.0,00:30:14
Bose Average J,Atomic_Size2_SerialMove_5,300,"[860, 1553, 1846]","[999, 1999]",0.8,00:26:36
Bose Average WC,Atomic_Size2_SerialMove_5,300,"[864, 1908]","[999, 1999]",1.0,00:33:08
Bose Average J,Atomic_Size2_ParallelRemoval_5,600,"[825, 2020]","[999, 1999]",1.0,00:31:24
Bose Average WC,Atomic_Size2_ParallelRemoval_5,600,[825],"[999, 1999]",0.6666666666666666,00:40:33
Bose Average J,Atomic_Size2_ConditionalRemoval_5,200,"[859, 2042]","[999, 1999]",1.0,00:22:38
Bose Average WC,Atomic_Size2_ConditionalRemoval_5,200,"[857, 1960]","[999, 1999]",1.0,00:25:00
Bose Average J,Atomic_Size2_Swap_5,400,"[628, 1046, 1865]","[999, 1999]",0.8,00:26:52
Bose Average WC,Atomic_Size2_Swap_5,400,[687],"[999, 1999]",,00:33:38
Bose Average J,Atomic_Size2_ParallelMove_5,300,"[922, 1775]","[999, 1999]",0.5,00:26:43
Bose Average WC,Atomic_Size2_ParallelMove_5,300,[2073],"[999, 1999]",0.6666666666666666,00:32:41
Bose Average J,Atomic_Size2_Substitute_5,500,"[982, 1961]","[999, 1999]",1.0,00:33:04
Bose Average WC,Atomic_Size2_Substitute_5,500,"[982, 1895]","[999, 1999]",1.0,00:40:37
Bose Average J,Atomic_Size2_Substitute_5,300,"[982, 1473, 1816]","[999, 1999]",0.8,00:28:27
Bose Average WC,Atomic_Size2_Substitute_5,300,"[987, 1857]","[999, 1999]",1.0,00:34:56
Bose Average J,Atomic_Size2_SerialRemoval_5,400,"[975, 1890]","[999, 1999]",1.0,00:29:43
Bose Average WC,Atomic_Size2_SerialRemoval_5,400,[975],"[999, 1999]",0.6666666666666666,00:36:50
Bose Average J,Atomic_Size2_ConditionalMove_5,200,"[952, 1276, 1928]","[999, 1999]",0.8,00:23:56
Bose Average WC,Atomic_Size2_ConditionalMove_5,200,"[1008, 2042]","[999, 1999]",1.0,00:27:09
Bose Average J,Atomic_Size2_Substitute_5,100,"[908, 1505, 1961]","[999, 1999]",0.8,00:21:02
Bose Average WC,Atomic_Size2_Substitute_5,100,[982],"[999, 1999]",0.6666666666666666,00:19:13
Bose Average J,Atomic_Size2_ParallelMove_5,500,"[927, 1886]","[999, 1999]",1.0,00:31:32
Bose Average WC,Atomic_Size2_ParallelMove_5,500,[1932],"[999, 1999]",0.6666666666666666,00:38:10
Bose Average J,Atomic_Size2_Frequency_5,500,[1844],"[999, 1999]",0.6666666666666666,00:15:39
Bose Average WC,Atomic_Size2_Frequency_5,500,[1844],"[999, 1999]",0.6666666666666666,00:19:28
Bose Average J,Atomic_Size2_ParallelRemoval_5,500,"[827, 1537, 2007]","[999, 1999]",0.8,00:30:27
Bose Average WC,Atomic_Size2_ParallelRemoval_5,500,[922],"[999, 1999]",0.6666666666666666,00:37:26
Bose Average J,Atomic_Size2_Loop_5,200,"[1036, 1922]","[999, 1999]",1.0,00:21:17
Bose Average WC,Atomic_Size2_Loop_5,200,[1849],"[999, 1999]",0.6666666666666666,00:24:06
Bose Average J,Atomic_Size2_ParallelToSequence_5,300,"[998, 1344, 1835]","[999, 1999]",0.8,00:27:39
Bose Average WC,Atomic_Size2_ParallelToSequence_5,300,"[998, 1951]","[999, 1999]",1.0,00:34:43
Bose Average J,Atomic_Size2_ParallelToSequence_5,400,"[1025, 1330, 1845]","[999, 1999]",0.8,00:33:05
Bose Average WC,Atomic_Size2_ParallelToSequence_5,400,"[1028, 1851]","[999, 1999]",1.0,00:40:32
Bose Average J,Atomic_Size2_ParallelToSequence_5,600,"[1002, 1981]","[999, 1999]",1.0,00:35:34
Bose Average WC,Atomic_Size2_ParallelToSequence_5,600,"[1035, 1953]","[999, 1999]",1.0,00:44:59
Bose Average J,Atomic_Size2_Substitute_5,600,"[987, 1969]","[999, 1999]",1.0,00:38:14
Bose Average WC,Atomic_Size2_Substitute_5,600,[],"[999, 1999]",,00:48:56
Bose Average J,Atomic_Size2_ConditionalRemoval_5,600,"[747, 2079]","[999, 1999]",0.5,00:35:07
Bose Average WC,Atomic_Size2_ConditionalRemoval_5,600,[],"[999, 1999]",,00:44:38
Bose Average J,Atomic_Size2_ConditionalToSequence_5,100,"[476, 931, 1919]","[999, 1999]",0.8,00:21:21
Bose Average WC,Atomic_Size2_ConditionalToSequence_5,100,"[890, 1904]","[999, 1999]",1.0,00:19:34
Bose Average J,Atomic_Size2_ConditionalMove_5,100,"[952, 1182, 1921]","[999, 1999]",0.8,00:22:22
Bose Average WC,Atomic_Size2_ConditionalMove_5,100,"[986, 1915]","[999, 1999]",1.0,00:20:23
Bose Average J,Atomic_Size2_ConditionalRemoval_5,100,[1877],"[999, 1999]",0.6666666666666666,00:21:00
Bose Average WC,Atomic_Size2_ConditionalRemoval_5,100,[1952],"[999, 1999]",0.6666666666666666,00:19:16
Bose Average J,Atomic_Size2_ParallelToSequence_5,100,[],"[999, 1999]",,00:20:59
Bose Average WC,Atomic_Size2_ParallelToSequence_5,100,[],"[999, 1999]",,00:19:03
Bose Average J,Atomic_Size2_Swap_5,200,"[1046, 1977]","[999, 1999]",1.0,00:22:00
Bose Average WC,Atomic_Size2_Swap_5,200,[1892],"[999, 1999]",0.6666666666666666,00:24:52
Bose Average J,Atomic_Size2_ParallelRemoval_5,300,"[928, 2010, 2590]","[999, 1999]",0.8,00:27:16
Bose Average WC,Atomic_Size2_ParallelRemoval_5,300,[914],"[999, 1999]",0.6666666666666666,00:33:30
Bose Average J,Atomic_Size2_ParallelMove_5,600,"[928, 1879]","[999, 1999]",1.0,00:30:57
Bose Average WC,Atomic_Size2_ParallelMove_5,600,[1899],"[999, 1999]",0.6666666666666666,00:39:36
Bose Average J,Atomic_Size2_ConditionalToSequence_5,400,"[934, 1934]","[999, 1999]",1.0,00:28:31
Bose Average WC,Atomic_Size2_ConditionalToSequence_5,400,"[971, 1901]","[999, 1999]",1.0,00:35:32
Bose Average J,Atomic_Size2_ConditionalMove_5,500,"[1022, 1723]","[999, 1999]",0.5,00:26:44
Bose Average WC,Atomic_Size2_ConditionalMove_5,500,[1242],"[999, 1999]",,00:33:14
Bose Average J,Atomic_Size2_Swap_5,300,"[640, 1057, 1866]","[999, 1999]",0.8,00:19:55
Bose Average WC,Atomic_Size2_Swap_5,300,[1004],"[999, 1999]",0.6666666666666666,00:24:55
Bose Average J,Atomic_Size2_Swap_5,100,[1980],"[999, 1999]",0.6666666666666666,00:12:56
Bose Average WC,Atomic_Size2_Swap_5,100,[1889],"[999, 1999]",0.6666666666666666,00:11:56
Bose Average J,Atomic_Size2_ConditionalToSequence_5,600,"[955, 1936]","[999, 1999]",1.0,00:22:53
Bose Average WC,Atomic_Size2_ConditionalToSequence_5,600,[],"[999, 1999]",,00:29:44
