Algorithm/Options,Log,Window Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Maaradji Runs,Atomic_Size2_Loop_5,100,[],"[999, 1999]",,00:04:30
Maaradji Runs,Atomic_Size2_Skip_5,100,[],"[999, 1999]",,00:04:52
Maaradji Runs,Atomic_Size2_ParallelRemoval_5,100,[],"[999, 1999]",,00:04:55
Maaradji Runs,Atomic_Size2_ConditionalMove_5,300,[],"[999, 1999]",,00:05:38
Maaradji Runs,Atomic_Size2_Frequency_5,400,[1908],"[999, 1999]",0.6666666666666666,00:02:05
Maaradji Runs,Atomic_Size2_Skip_5,200,[],"[999, 1999]",,00:04:49
Maaradji Runs,Atomic_Size2_ParallelRemoval_5,400,[],"[999, 1999]",,00:04:49
Maaradji Runs,Atomic_Size2_ParallelMove_5,600,[],"[999, 1999]",,00:05:14
Maaradji Runs,Atomic_Size2_ParallelToSequence_5,200,[],"[999, 1999]",,00:04:59
Maaradji Runs,Atomic_Size2_Frequency_5,600,"[972, 1778]","[999, 1999]",0.5,00:02:02
Maaradji Runs,Atomic_Size2_ConditionalMove_5,400,[],"[999, 1999]",,00:05:34
Maaradji Runs,Atomic_Size2_ParallelMove_5,300,[],"[999, 1999]",,00:04:55
Maaradji Runs,Atomic_Size2_Loop_5,600,[],"[999, 1999]",,00:04:48
Maaradji Runs,Atomic_Size2_ConditionalToSequence_5,600,[],"[999, 1999]",,00:05:18
Maaradji Runs,Atomic_Size2_SerialMove_5,500,[],"[999, 1999]",,00:05:14
Maaradji Runs,Atomic_Size2_ParallelRemoval_5,600,[],"[999, 1999]",,00:05:16
Maaradji Runs,Atomic_Size2_Loop_5,500,[],"[999, 1999]",,00:04:51
Maaradji Runs,Atomic_Size2_SerialRemoval_5,300,[],"[999, 1999]",,00:04:54
Maaradji Runs,Atomic_Size2_ConditionalMove_5,200,[],"[999, 1999]",,00:05:29
Maaradji Runs,Atomic_Size2_ParallelMove_5,200,[],"[999, 1999]",,00:04:53
Maaradji Runs,Atomic_Size2_Swap_5,300,[],"[999, 1999]",,00:04:38
Maaradji Runs,Atomic_Size2_ConditionalMove_5,100,[],"[999, 1999]",,00:05:27
Maaradji Runs,Atomic_Size2_Skip_5,400,[],"[999, 1999]",,00:05:06
Maaradji Runs,Atomic_Size2_Substitute_5,600,[],"[999, 1999]",,00:06:10
Maaradji Runs,Atomic_Size2_Swap_5,200,[],"[999, 1999]",,00:04:33
Maaradji Runs,Atomic_Size2_Loop_5,300,[],"[999, 1999]",,00:04:37
Maaradji Runs,Atomic_Size2_SerialRemoval_5,400,[],"[999, 1999]",,00:05:02
Maaradji Runs,Atomic_Size2_ConditionalToSequence_5,500,[],"[999, 1999]",,00:05:19
Maaradji Runs,Atomic_Size2_ConditionalRemoval_5,100,[],"[999, 1999]",,00:04:27
Maaradji Runs,Atomic_Size2_ParallelToSequence_5,400,[],"[999, 1999]",,00:05:11
Maaradji Runs,Atomic_Size2_SerialMove_5,300,[],"[999, 1999]",,00:05:01
Maaradji Runs,Atomic_Size2_SerialMove_5,400,[],"[999, 1999]",,00:05:07
Maaradji Runs,Atomic_Size2_Frequency_5,200,[],"[999, 1999]",,00:01:56
Maaradji Runs,Atomic_Size2_ConditionalToSequence_5,300,[],"[999, 1999]",,00:05:10
Maaradji Runs,Atomic_Size2_ConditionalRemoval_5,600,[],"[999, 1999]",,00:04:49
