Algorithm/Options,Log,Window Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Frequency_5,400,"[798, 1949]","[999, 1999]",0.5,00:15:28
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Frequency_5,400,[],"[999, 1999]",,00:15:52
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Swap_5,100,"[925, 1979]","[999, 1999]",1.0,00:16:54
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Swap_5,100,[],"[999, 1999]",,00:14:15
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Swap_5,400,[618],"[999, 1999]",,00:27:05
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Swap_5,400,[],"[999, 1999]",,00:28:47
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ParallelMove_5,600,[1878],"[999, 1999]",0.6666666666666666,00:31:23
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ParallelMove_5,600,[],"[999, 1999]",,00:33:52
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ParallelRemoval_5,600,"[899, 2099]","[999, 1999]",1.0,00:31:24
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ParallelRemoval_5,600,[],"[999, 1999]",,00:33:39
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Skip_5,500,[961],"[999, 1999]",0.6666666666666666,00:30:29
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Skip_5,500,[],"[999, 1999]",,00:31:24
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ParallelToSequence_5,300,"[966, 1826]","[999, 1999]",1.0,00:26:20
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ParallelToSequence_5,300,[],"[999, 1999]",,00:27:56
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_SerialMove_5,600,[828],"[999, 1999]",0.6666666666666666,00:31:47
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_SerialMove_5,600,[],"[999, 1999]",,00:33:53
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ConditionalRemoval_5,400,"[711, 2074]","[999, 1999]",0.5,00:29:28
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ConditionalRemoval_5,400,[],"[999, 1999]",,00:30:35
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Skip_5,200,[1032],"[999, 1999]",0.6666666666666666,00:22:18
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Skip_5,200,[],"[999, 1999]",,00:22:07
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ConditionalToSequence_5,600,"[899, 1949]","[999, 1999]",1.0,00:31:49
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ConditionalToSequence_5,600,[],"[999, 1999]",,00:33:57
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Skip_5,600,[949],"[999, 1999]",0.6666666666666666,00:31:29
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Skip_5,600,[],"[999, 1999]",,00:34:24
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ConditionalMove_5,400,"[855, 1655]","[999, 1999]",0.5,00:30:44
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ConditionalMove_5,400,[],"[999, 1999]",,00:32:21
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_SerialMove_5,300,[726],"[999, 1999]",,00:26:16
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_SerialMove_5,300,[],"[999, 1999]",,00:28:21
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Frequency_5,600,[1753],"[999, 1999]",,00:16:17
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Frequency_5,600,[],"[999, 1999]",,00:17:31
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_SerialMove_5,200,[815],"[999, 1999]",0.6666666666666666,00:23:23
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_SerialMove_5,200,[],"[999, 1999]",,00:22:25
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ConditionalToSequence_5,200,"[953, 1905]","[999, 1999]",1.0,00:22:48
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ConditionalToSequence_5,200,[],"[999, 1999]",,00:22:22
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_Skip_5,400,[875],"[999, 1999]",0.6666666666666666,00:30:08
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_Skip_5,400,[],"[999, 1999]",,00:31:27
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_SerialMove_5,500,[813],"[999, 1999]",0.6666666666666666,00:30:26
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_SerialMove_5,500,[],"[999, 1999]",,00:31:28
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ConditionalToSequence_5,300,"[701, 1894]","[999, 1999]",0.5,00:26:56
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_ConditionalToSequence_5,300,[],"[999, 1999]",,00:28:51
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_SerialRemoval_5,100,"[902, 1939]","[999, 1999]",1.0,00:18:52
Martjushev Recursive Bisection; Average WC; p=0.55,Atomic_Size2_SerialRemoval_5,100,[],"[999, 1999]",,00:15:39
Martjushev Recursive Bisection; Average J; p=0.55,Atomic_Size2_ConditionalRemoval_5,100,[1873],"[999, 1999]",0.6666666666666666,00:18:21
