Algorithm/Options,Log,Window Size,Max Adaptive Window,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Process Graph Metrics,Atomic_Size2_ParallelMove_5,600,1200,"[991, 2081]","[999, 1999]",1.0,00:00:31
Process Graph Metrics,Atomic_Size2_SerialRemoval_5,300,600,"[966, 2043]","[999, 1999]",1.0,00:01:04
Process Graph Metrics,Atomic_Size2_Loop_5,600,1200,"[1064, 2167]","[999, 1999]",1.0,00:00:51
Process Graph Metrics,Atomic_Size2_ConditionalRemoval_5,400,800,"[1092, 2050]","[999, 1999]",1.0,00:01:27
Process Graph Metrics,Atomic_Size2_ConditionalRemoval_5,300,600,"[1021, 1978]","[999, 1999]",1.0,00:00:19
Process Graph Metrics,Atomic_Size2_SerialMove_5,100,200,[1066],"[999, 1999]",0.6666666666666666,00:00:08
Process Graph Metrics,Atomic_Size2_Loop_5,400,800,"[1051, 2116]","[999, 1999]",1.0,00:00:59
Process Graph Metrics,Atomic_Size2_Swap_5,200,400,[],"[999, 1999]",,00:00:10
Process Graph Metrics,Atomic_Size2_ConditionalToSequence_5,200,400,"[993, 2031]","[999, 1999]",1.0,00:00:29
Process Graph Metrics,Atomic_Size2_Loop_5,200,400,"[1022, 2174]","[999, 1999]",1.0,00:00:21
Process Graph Metrics,Atomic_Size2_ParallelToSequence_5,400,800,"[982, 2035]","[999, 1999]",1.0,00:00:37
Process Graph Metrics,Atomic_Size2_ConditionalToSequence_5,100,200,[1930],"[999, 1999]",0.6666666666666666,00:00:17
Process Graph Metrics,Atomic_Size2_ParallelRemoval_5,500,1000,[1093],"[999, 1999]",0.6666666666666666,00:02:30
Process Graph Metrics,Atomic_Size2_ParallelRemoval_5,100,200,[1002],"[999, 1999]",0.6666666666666666,00:00:18
Process Graph Metrics,Atomic_Size2_ConditionalRemoval_5,100,200,[998],"[999, 1999]",0.6666666666666666,00:00:09
Process Graph Metrics,Atomic_Size2_Skip_5,500,1000,[1383],"[999, 1999]",,00:00:45
Process Graph Metrics,Atomic_Size2_SerialRemoval_5,500,1000,"[963, 2146]","[999, 1999]",1.0,00:01:33
Process Graph Metrics,Atomic_Size2_Frequency_5,300,600,"[1021, 1974]","[999, 1999]",1.0,00:01:13
Process Graph Metrics,Atomic_Size2_Frequency_5,200,400,"[1022, 1988]","[999, 1999]",1.0,00:00:26
Process Graph Metrics,Atomic_Size2_Skip_5,200,400,[2053],"[999, 1999]",0.6666666666666666,00:00:09
Process Graph Metrics,Atomic_Size2_Frequency_5,100,200,[986],"[999, 1999]",0.6666666666666666,00:00:05
