Algorithm/Options,Log,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Duration
Zheng DBSCAN,Atomic_Size2_ConditionalRemoval_5,500,50.0,[1506.910702113156],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_ConditionalRemoval_5,500,100.0,[1506.910702113156],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_ConditionalRemoval_5,500,150.0,[1506.910702113156],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_ConditionalMove_5,100,10.0,[1510.778947368421],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_ConditionalMove_5,100,20.0,[1510.778947368421],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_ConditionalMove_5,100,30.0,[1510.778947368421],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_Swap_5,100,10.0,[1497.758752997602],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_Swap_5,100,20.0,[1497.758752997602],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_Swap_5,100,30.0,[1497.758752997602],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_Substitute_5,100,10.0,"[1124.3239795918366, 2574.808118081181]","[999, 1999]",0.5,00:00:05
Zheng DBSCAN,Atomic_Size2_Substitute_5,100,20.0,[1496.9127962085308],"[999, 1999]",,00:00:05
Zheng DBSCAN,Atomic_Size2_Substitute_5,100,30.0,[1496.9127962085308],"[999, 1999]",,00:00:05
Zheng DBSCAN,Atomic_Size2_Swap_5,250,25.0,[1493.2632468996617],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_Swap_5,250,50.0,[1493.2632468996617],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_Swap_5,250,75.0,[1493.2632468996617],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_SerialRemoval_5,100,10.0,"[737.7298429319371, 2188.016979445934]","[999, 1999]",0.5,00:00:04
Zheng DBSCAN,Atomic_Size2_SerialRemoval_5,100,20.0,[1520.2135969141755],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_SerialRemoval_5,100,30.0,[1520.2135969141755],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_ParallelMove_5,250,25.0,[1530.8486516235553],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_ParallelMove_5,250,50.0,[1530.8486516235553],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_ParallelMove_5,250,75.0,[1530.8486516235553],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_Frequency_5,100,10.0,"[161.23853211009174, 309.0217391304348, 707.4018691588785, 1174.3100775193798, 1440.5254237288136, 2256.3079800498754]","[999, 1999]",0.25,00:00:02
Zheng DBSCAN,Atomic_Size2_Frequency_5,100,20.0,[1489.328079392878],"[999, 1999]",,00:00:02
Zheng DBSCAN,Atomic_Size2_Frequency_5,100,30.0,[1489.328079392878],"[999, 1999]",,00:00:02
Zheng DBSCAN,Atomic_Size2_Loop_5,250,25.0,[1476.4274682846112],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_Loop_5,250,50.0,[1476.4274682846112],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_Loop_5,250,75.0,[1476.4274682846112],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_SerialMove_5,250,25.0,[1491.873519913886],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_SerialMove_5,250,50.0,[1491.873519913886],"[999, 1999]",,00:00:04
Zheng DBSCAN,Atomic_Size2_SerialMove_5,250,75.0,[1491.873519913886],"[999, 1999]",,00:00:04
